"country" "mean_adr"
"162" "TMP" 51
"163" "TUN" 44.0769230769231
"164" "TUR" 50.7298387096774
"165" "TWN" 76.3725490196078
"166" "TZA" 26.2
"167" "UGA" 18.5
"168" "UKR" 72.6911764705882
"169" "UMI" 11
"170" "URY" 100.15625
"171" "USA" 77.1907486886028
"172" "UZB" 14.75
"173" "VEN" 54.7692307692308
"174" "VGB" 109
"175" "VNM" 84.125
"176" "ZAF" 70.15
"177" "ZMB" 68.5
"178" "ZWE" 83
"distribution_channel" "mean_dist_leadtime" "sd_dist_leadtime"
"1" "Corporate" 44.9102890519694 83.104233048026
"2" "Direct" 57.8293615568453 79.0304755970992
"3" "GDS" 20.7150259067358 28.2045473602432
"4" "TA/TO" 115.122437927864 108.759058624709
"5" "Undefined" 23 44.8162916805931
